id,gebv,pop,year,stage,bv,gv
775947,53.5334820378343,c,58,6,54.2214642893247,671.801158875739
776294,42.2199749092777,c,58,6,35.8716252622159,655.046052556811
776658,61.9907170295548,c,58,6,12.8421869772725,640.865125531101
776953,45.7814090777372,c,58,6,43.3278552415534,655.454887014394
777158,51.0780617215744,c,58,6,41.6813763422985,638.325314130954
777757,61.2138162398648,c,58,6,42.7355360520802,670.937044262584
777909,41.1140112767915,c,58,6,41.9951415322654,641.306564892471
777910,69.1214446368968,c,58,6,40.8611284424147,659.556857263607
778826,71.098511335144,c,58,6,58.0636849849083,657.893394137394
778976,28.1014904690464,c,58,6,24.6446443392874,644.425983818983
780713,48.3419734284269,c,59,5,30.3401296595257,641.356782848161
781697,48.5830510154755,c,59,5,33.1866749095009,628.309865049643
781848,43.7897985160879,c,59,5,51.5692419297478,669.902443348282
781906,68.6974004737552,c,59,5,29.8423144195763,652.207981127925
783738,45.7116645956441,c,59,5,26.5987524654519,641.631156937404
784453,59.2813093033044,c,59,5,25.9277848527018,634.457999734236
784736,58.1174784548848,c,59,5,55.7973958100592,648.044631354046
785449,51.9236625558841,c,59,5,47.8108277025668,666.804846819511
785669,75.7533843329978,c,59,5,48.4755361260506,676.983703635031
785917,41.6553422851017,c,59,5,16.6764803017312,633.532139942639
786375,53.0811976906808,c,59,5,21.7266052132115,635.960296383014
786426,51.09741326721,c,59,5,10.3756818961734,629.009215150231
786718,46.9823815227879,c,59,5,50.0855742704239,644.515810694491
786839,44.7705681634007,c,59,5,25.732077534865,628.299711284739
787147,51.5106240115516,c,59,5,35.0256619901909,635.726335485156
787508,50.4852392335096,c,59,5,30.121786918664,634.537291764891
788033,48.8007042069369,c,59,5,28.1837097439856,641.658664006701
788251,61.4306084522744,c,59,5,25.063745178971,633.780975204925
788378,31.8026132746827,c,59,5,41.9433556031885,645.206600418442
788390,65.1584676173973,c,59,5,43.1703614237255,663.914846830882
788753,50.0290820075199,c,59,5,-3.88399761014477,600.836721537283
789193,50.0649994237583,c,59,5,8.49455465206647,608.521628874283
789524,42.8935088634435,c,59,5,9.40184759389271,616.951895040884
789897,45.6470135730491,c,59,5,19.1066571625572,618.229853313985
790756,45.2958611643674,c,59,5,-11.0020134872174,598.325795740651
791261,45.9128000468121,c,59,5,20.982897665799,651.073371077647
791636,62.3611517531584,c,59,5,19.9443223097315,639.14026881833
791771,54.827722448148,c,59,5,46.163333759835,647.810693292286
791773,64.2738175724378,c,59,5,6.36852626454417,634.7033256682
791829,47.9755154499934,c,59,5,-18.6143838579621,619.812674811658
792499,44.1176001044198,c,60,4,9.48729956757157,639.885460739211
792707,49.278256858073,c,60,4,48.503824659213,660.907196654247
792709,36.9742126526352,c,60,4,36.6359661750091,614.984031246453
792872,62.1335408691237,c,60,4,64.0751683097088,680.623949769156
792946,39.7481393105447,c,60,4,21.1026530944026,630.769641013723
793028,38.9340407668829,c,60,4,56.4044221252032,668.144890340094
793080,40.0027442028105,c,60,4,24.5255364985998,628.15031617644
793087,37.2712365229592,c,60,4,21.6257926311261,621.856049449027
793134,40.3227485072786,c,60,4,13.1196337791914,625.69463389191
793191,39.2906399324487,c,60,4,28.7348235688179,630.84728316529
793223,42.4514066465249,c,60,4,11.4013249945355,615.235586533848
793260,41.3342219743658,c,60,4,11.4830409495741,613.940254045569
793395,40.4736564260784,c,60,4,41.5891572744059,644.800158109691
793401,39.6560304830799,c,60,4,28.6553741354548,617.733400335492
793403,29.8836167512879,c,60,4,47.6899465210773,648.465827536691
793417,43.5890297821175,c,60,4,49.5084368537181,660.776651002145
793483,55.0794510787242,c,60,4,29.0505760287092,647.764332866789
793518,39.7964432165882,c,60,4,61.8697229746027,658.378485101366
793590,36.3023082618691,c,60,4,34.4209094821009,655.152489268169
793698,41.9513685912622,c,60,4,45.1908706447732,639.53945505311
793986,41.8257675055678,c,60,4,29.8026732402468,654.764819426507
793987,38.6192782123533,c,60,4,66.0673063946033,689.286888592816
794008,43.2887986855549,c,60,4,82.2632323313998,681.982761890819
794102,50.0825877761167,c,60,4,23.588175880088,630.531852567038
794115,50.6002721115177,c,60,4,25.1197334727786,640.201022645743
794137,49.3138462317816,c,60,4,12.6405307913587,614.901700002624
794363,66.3817135084704,c,60,4,44.2987909837248,673.528600432714
794752,37.4875003975657,c,60,4,30.0965296316693,638.672236809012
794850,53.2820925804957,c,60,4,32.0839063977916,634.184589848425
794886,37.5167702659962,c,60,4,26.7281370577518,637.316863546488
795013,39.9394921379484,c,60,4,-4.93342303386759,616.424376193677
795021,39.6025493629949,c,60,4,27.4774667777705,630.943873461315
795112,39.284233988335,c,60,4,51.34498048756,665.99527139036
795125,48.3994489338803,c,60,4,26.2579499466728,641.817092439392
795296,41.1534522000215,c,60,4,36.3326143560261,642.533972611037
795930,47.6966638336793,c,60,4,35.3341990734661,650.193397346814
795941,61.3474020525521,c,60,4,43.5943116284083,646.825653818966
796061,43.1719435073956,c,60,4,31.3606277763872,650.097529677753
796221,42.9701807499814,c,60,4,-4.99484515071797,607.46676177272
796569,46.7414062445158,c,60,4,24.38787705431,623.068416148718
796908,36.0592349861911,c,60,4,19.9840008954669,644.450506352869
797077,43.6015082818486,c,60,4,39.8869889659665,651.926519547421
797091,53.2915317740613,c,60,4,24.6481844439529,634.916030018502
797104,35.6537248133502,c,60,4,27.3976149715004,631.034248460002
797600,62.1194648161804,c,60,4,64.1879368064053,695.358363346548
797639,45.4117538935147,c,60,4,42.0303167972249,663.204781661774
797814,45.1810810775748,c,60,4,23.1299594609736,619.160226910464
798596,45.1169773355086,c,60,4,48.4276126217225,656.650491474099
798718,36.5962010950178,c,60,4,32.2815027405694,647.895999487342
798776,38.2522292374181,c,60,4,35.1927557352155,623.32064649173
799481,36.9553225177185,c,60,4,-12.416553615091,596.114670632384
799486,46.0870554691021,c,60,4,29.6260351416191,620.003494144889
799544,36.3162468317554,c,60,4,25.9159076095607,657.862629042164
799660,36.2340101974671,c,60,4,27.7019377613745,632.395631870075
799728,34.6868379026626,c,60,4,13.7383218168043,618.281806614121
799797,47.562838947239,c,60,4,22.042848032023,656.110269066801
799955,33.7010796883966,c,60,4,20.4884510616633,641.032277601959
800278,37.5405521542808,c,60,4,26.1287943596869,621.155600445209
800739,46.27513074181,c,60,4,43.7699081847219,656.332357909327
800766,35.9665818825374,c,60,4,-7.90108229779889,597.746252877562
800795,39.5869982007015,c,60,4,80.4127308696513,668.262919214999
801117,35.3755531653004,c,60,4,42.0515115469094,647.742950403285
801120,40.3790999309536,c,60,4,56.5607069362066,661.389179598985
801137,42.3077208933779,c,60,4,24.5142402216532,626.005049538606
801228,36.199621398827,c,60,4,63.6246354196329,649.899878513384
801442,30.258650341435,c,60,4,32.7447057668498,636.459600628805
801447,41.8575030853341,c,60,4,63.8779646142593,664.762139929827
801481,68.7255556296342,c,60,4,65.2090705003356,680.553045580701
801572,50.290321708952,c,60,4,47.7878466617574,662.500147849402
801598,44.9223483634935,c,60,4,39.0529108018495,656.086127932044
801599,40.2428350272966,c,60,4,26.1168535260044,621.499221543637
801810,42.9316118350777,c,60,4,29.6319657974629,628.964613368387
801827,43.2811441371867,c,60,4,51.3334677658189,652.096869819296
801868,37.3728220514979,c,60,4,54.4182754244385,661.832573587703
801957,33.7526891362064,c,60,4,16.2742074591527,622.266868553209
803092,46.5787727266696,c,60,4,9.5754479064897,622.506852719941
803431,42.0943788060626,c,60,4,49.4554068748676,647.490250915779
803527,45.6806176255312,c,60,4,33.9249765603719,659.261986719156
803554,40.6813264058108,c,60,4,45.2651455872774,657.508229834463
803677,42.4219898786596,c,60,4,35.9227504021243,673.731573384167
768043,42.8850970332716,c,58,6,-12.4603611012613,601.217109290703
769152,37.9835097143833,c,58,6,-5.24314461842896,597.09546694049
769668,52.7959935753429,c,58,6,23.2595641208323,640.875676863909
769673,57.3090133777393,c,58,6,66.8292295510286,666.407575213772
770089,58.0840331333019,c,58,6,48.4346289208492,663.54617327718
770110,66.9517719045454,c,58,6,50.7167234342216,667.491187661554
770683,50.6613157555741,c,58,6,59.258206904969,668.126717181425
770751,27.2863826425044,c,58,6,0.595170281012428,623.380628441389
771083,34.9731250205488,c,58,6,27.1971155830572,649.383388479683
771125,52.1687631296919,c,58,6,27.5245761825893,656.630983070908
771175,53.0083721456696,c,58,6,61.3176759053866,680.499064556821
771212,43.3981667999026,c,58,6,54.4922795001501,664.011098426156
771319,66.2767150160883,c,58,6,38.4698998622772,627.735494099918
